kappa_A,sigma_A,kappa_B,sigma_B,f_B,kappa_mix,sigma_mix,sigma_mixing_rule,S_max,Nd,total_act_frac,activated
0.61,0.07457325,0.1,0.045,0.1,0.559,0.071615925,linear_approximation,0.0026169244251184162,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.1,0.05750000000000001,0.1,0.559,0.072865925,linear_approximation,0.002639675724154056,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.1,0.07,0.1,0.559,0.074115925,linear_approximation,0.0026623562074839725,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.2,0.02,0.1,0.5690000000000001,0.069115925,linear_approximation,0.002561810671631308,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.2,0.0325,0.1,0.5690000000000001,0.070365925,linear_approximation,0.0025845836867027846,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.2,0.045,0.1,0.5690000000000001,0.071615925,linear_approximation,0.002607300733987873,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.2,0.05750000000000001,0.1,0.5690000000000001,0.072865925,linear_approximation,0.0026299589287541256,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.2,0.07,0.1,0.5690000000000001,0.074115925,linear_approximation,0.002652549983383456,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.30000000000000004,0.02,0.1,0.5790000000000001,0.069115925,linear_approximation,0.0025525371943272614,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.30000000000000004,0.0325,0.1,0.5790000000000001,0.070365925,linear_approximation,0.0025752171453042273,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.30000000000000004,0.045,0.1,0.5790000000000001,0.071615925,linear_approximation,0.0025978406984215716,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.30000000000000004,0.05750000000000001,0.1,0.5790000000000001,0.072865925,linear_approximation,0.0026204070353934355,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.30000000000000004,0.07,0.1,0.5790000000000001,0.074115925,linear_approximation,0.0026429094157690495,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.4,0.02,0.1,0.5890000000000001,0.069115925,linear_approximation,0.002543417092207231,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.4,0.0325,0.1,0.5890000000000001,0.070365925,linear_approximation,0.0025660065500123894,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.4,0.045,0.1,0.5890000000000001,0.071615925,linear_approximation,0.002588538603241824,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.4,0.05750000000000001,0.1,0.5890000000000001,0.072865925,linear_approximation,0.0026110144535115387,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.4,0.07,0.1,0.5890000000000001,0.074115925,linear_approximation,0.0026334290555750884,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.5,0.02,0.1,0.5990000000000001,0.069115925,linear_approximation,0.0025344448597094233,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.5,0.0325,0.1,0.5990000000000001,0.070365925,linear_approximation,0.0025569463630434734,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.5,0.045,0.1,0.5990000000000001,0.071615925,linear_approximation,0.0025793889731111205,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.5,0.05750000000000001,0.1,0.5990000000000001,0.072865925,linear_approximation,0.0026017758565478363,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.5,0.07,0.1,0.5990000000000001,0.074115925,linear_approximation,0.002624103683637563,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.1,0.02,0.2,0.508,0.0636586,linear_approximation,0.0025192038600442613,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.1,0.0325,0.2,0.508,0.0661586,linear_approximation,0.002566492593466928,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.1,0.045,0.2,0.508,0.0686586,linear_approximation,0.002613492504647052,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.1,0.05750000000000001,0.2,0.508,0.0711586,linear_approximation,0.0026602564636504316,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.1,0.07,0.2,0.508,0.0736586,linear_approximation,0.002706709854888931,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.2,0.02,0.2,0.528,0.0636586,linear_approximation,0.002499591379022971,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.2,0.0325,0.2,0.528,0.0661586,linear_approximation,0.002546492125078713,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.2,0.045,0.2,0.528,0.0686586,linear_approximation,0.002593070079350501,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.2,0.05750000000000001,0.2,0.528,0.0711586,linear_approximation,0.0026394132515051385,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.2,0.07,0.2,0.528,0.0736586,linear_approximation,0.002685481508935172,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.30000000000000004,0.02,0.2,0.548,0.0636586,linear_approximation,0.002480670663889678,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.30000000000000004,0.0325,0.2,0.548,0.0661586,linear_approximation,0.002527206828052546,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.30000000000000004,0.045,0.2,0.548,0.0686586,linear_approximation,0.0025733903561654366,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.30000000000000004,0.05750000000000001,0.2,0.548,0.0711586,linear_approximation,0.0026193282861206074,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.30000000000000004,0.07,0.2,0.548,0.0736586,linear_approximation,0.00266501656371729,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.4,0.02,0.2,0.5680000000000001,0.0636586,linear_approximation,0.002462393083152159,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.4,0.0325,0.2,0.5680000000000001,0.0661586,linear_approximation,0.0025085820419820854,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.4,0.045,0.2,0.5680000000000001,0.0686586,linear_approximation,0.002554396846610013,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.4,0.05750000000000001,0.2,0.5680000000000001,0.0711586,linear_approximation,0.0025999474632925888,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.4,0.07,0.2,0.5680000000000001,0.0736586,linear_approximation,0.00264526311952222,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.5,0.02,0.2,0.588,0.0636586,linear_approximation,0.002444715717377538,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.5,0.0325,0.2,0.588,0.0661586,linear_approximation,0.0024905700252915663,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.5,0.045,0.2,0.588,0.0686586,linear_approximation,0.002536038742388085,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.5,0.05750000000000001,0.2,0.588,0.0711586,linear_approximation,0.0025812213970034066,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.5,0.07,0.2,0.588,0.0736586,linear_approximation,0.002626173879830826,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.1,0.02,0.30000000000000004,0.457,0.05820127499999999,linear_approximation,0.002465673883318431,571847495.2100056,0.5704905034681016,True
0.61,0.07457325,0.1,0.0325,0.30000000000000004,0.457,0.06195127499999999,linear_approximation,0.002539504248576209,571847495.2100056,0.5704905034681016,True
0.61,0.07457325,0.1,0.045,0.30000000000000004,0.457,0.06570127499999999,linear_approximation,0.002612343185716001,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.1,0.05750000000000001,0.30000000000000004,0.457,0.06945127499999999,linear_approximation,0.0026846005425108237,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.1,0.07,0.30000000000000004,0.457,0.073201275,linear_approximation,0.0027560679029680415,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.2,0.02,0.30000000000000004,0.487,0.05820127499999999,linear_approximation,0.0024349319648525433,571847495.2100056,0.5704905034681016,True
0.61,0.07457325,0.2,0.0325,0.30000000000000004,0.487,0.06195127499999999,linear_approximation,0.002507785373564864,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.2,0.045,0.30000000000000004,0.487,0.06570127499999999,linear_approximation,0.002579622604482211,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.2,0.05750000000000001,0.30000000000000004,0.487,0.06945127499999999,linear_approximation,0.0026508072374624063,638373012.3967685,0.6368581558776214,True
